year,country_sym,technology,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
2018, HU , Lignite ,0.56,0.5,0.67,0.26,0.3,0.28,0.49,0.65,0.66,0.64,0.66,0.42
2018, PL , Lignite ,0.73,0.69,0.65,0.58,0.63,0.62,0.68,0.61,0.63,0.57,0.61,0.57
2018, SI , Lignite ,0.76,0.64,0.6,0.48,0.44,0.38,0.58,0.57,0.42,0.47,0.5,0.45
2018, SK , Lignite ,0.7,0.66,0.51,0.42,0.36,0.45,0.43,0.42,0.42,0.53,0.57,0.54
2018,CH, Biomass ,0.7,0.689951905,0.6625,0.625,0.5875,0.560048095,0.55,0.560048095,0.5875,0.625,0.6625,0.689951905
2018,CH, Coal ,0.9,0.889951905,0.8625,0.825,0.7875,0.760048095,0.75,0.760048095,0.7875,0.825,0.8625,0.889951905
2018,CH,Gas,0.9,0.889951905,0.8625,0.825,0.7875,0.760048095,0.75,0.760048095,0.7875,0.825,0.8625,0.889951905
2018,CH, Pump ,0.88,0.86,0.86,0.75,0.68,0.68,0.71,0.7,0.71,0.78,0.85,0.85
2018,CH, Lignite ,0.74,0.8,0.83,0.7,0.65,0.71,0.72,0.7,0.69,0.77,0.81,0.75
2018,CH, Oil ,0.9,0.889951905,0.8625,0.825,0.7875,0.760048095,0.75,0.760048095,0.7875,0.825,0.8625,0.889951905
2018,CH, RoR ,0.64,0.64,0.64,0.59,0.59,0.59,0.59,0.59,0.59,0.64,0.64,0.64
2018,CH, Dam ,0.88,0.86,0.86,0.75,0.68,0.68,0.71,0.7,0.71,0.78,0.85,0.85
2019,CH, Nuclear ,0.51,0.6,0.85,0.85,0.83,0.56,0.8,0.68,0.55,0.51,0.51,0.63
2019,BE, Nuclear ,0.82,0.84,0.79,0.48,0.6,0.84,0.93,0.93,0.85,0.66,0.68,0.83
2019,CZ, Nuclear ,0.81,0.75,0.77,0.86,0.7,0.59,0.53,0.72,0.82,0.86,0.9,0.77
2019,DE, Nuclear ,0.81,0.71,0.68,0.69,0.8,0.93,0.75,1,0.93,1.04,1.01,1.02
2019,ES, Nuclear ,1,1,1,0.96,0.78,0.79,0.83,0.96,0.92,0.81,0.7,0.95
2019,FR, Nuclear ,0.86,0.79,0.73,0.7,0.64,0.59,0.6,0.61,0.65,0.6,0.67,0.8
2019,GB, Nuclear ,0.8,0.88,0.8,0.76,0.82,0.88,0.79,0.85,0.84,0.81,0.75,0.73
2019,HU, Nuclear ,1,0.76,0.99,1.01,0.99,0.98,0.93,0.73,0.82,1,0.76,1.01
2019,NL, Nuclear ,1,1,0.98,0.79,1.57,1.06,0.48,0.93,0.98,0.92,0.99,1
2019,SE, Nuclear ,1.05,1.06,1.03,0.99,0.89,0.72,0.67,0.57,0.51,0.65,0.93,1
2019,SI, Nuclear ,0.99,0.94,1,0.94,0.99,0.97,0.97,0.96,0.98,1,1,1
2019,SK, Nuclear ,0.91,0.92,0.86,0.69,0.67,0.69,0.84,0.86,0.9,0.75,0.92,0.91
2019, CZ , Lignite ,0.55,0.54,0.49,0.5,0.38,0.33,0.3,0.37,0.47,0.49,0.53,0.47
2019, DE , Lignite ,0.79,0.78,0.78,0.76,0.74,0.71,0.71,0.76,0.73,0.7,0.79,0.68
2019, ES , Lignite ,3.44,2.61,1.69,2.01,2.99,3.44,3.75,3.06,3,3.04,3.24,3.08
2019, HU , Lignite ,0.56,0.5,0.67,0.26,0.3,0.28,0.49,0.65,0.66,0.64,0.66,0.42
2019, PL , Lignite ,0.73,0.69,0.65,0.58,0.63,0.62,0.68,0.61,0.63,0.57,0.61,0.57
2019, SI , Lignite ,0.76,0.64,0.6,0.48,0.44,0.38,0.58,0.57,0.42,0.47,0.5,0.45
2019, SK , Lignite ,0.7,0.66,0.51,0.42,0.36,0.45,0.43,0.42,0.42,0.53,0.57,0.54
2019,CH, Biomass ,0.7,0.689951905,0.6625,0.625,0.5875,0.560048095,0.55,0.560048095,0.5875,0.625,0.6625,0.689951905
2019,CH, Coal ,0.9,0.889951905,0.8625,0.825,0.7875,0.760048095,0.75,0.760048095,0.7875,0.825,0.8625,0.889951905
2019,CH,Gas,0.9,0.889951905,0.8625,0.825,0.7875,0.760048095,0.75,0.760048095,0.7875,0.825,0.8625,0.889951905
2019,CH, Pump ,0.88,0.86,0.86,0.75,0.68,0.68,0.71,0.7,0.71,0.78,0.85,0.85
2019,CH, Lignite ,0.74,0.8,0.83,0.7,0.65,0.71,0.72,0.7,0.69,0.77,0.81,0.75
2019,CH, Oil ,0.9,0.889951905,0.8625,0.825,0.7875,0.760048095,0.75,0.760048095,0.7875,0.825,0.8625,0.889951905
2019,CH, RoR ,0.64,0.64,0.64,0.59,0.59,0.59,0.59,0.59,0.59,0.64,0.64,0.64
2019,CH, Dam ,0.88,0.86,0.86,0.75,0.68,0.68,0.71,0.7,0.71,0.78,0.85,0.85
2020,CH, Nuclear ,0.51,0.6,0.85,0.85,0.83,0.56,0.8,0.68,0.55,0.51,0.51,0.63
2020,BE, Nuclear ,0.82,0.84,0.79,0.48,0.6,0.84,0.93,0.93,0.85,0.66,0.68,0.83
2020,CZ, Nuclear ,0.81,0.75,0.77,0.86,0.7,0.59,0.53,0.72,0.82,0.86,0.9,0.77
2020,DE, Nuclear ,0.81,0.71,0.68,0.69,0.8,0.93,0.75,1,0.93,1.04,1.01,1.02
2020,ES, Nuclear ,1,1,1,0.96,0.78,0.79,0.83,0.96,0.92,0.81,0.7,0.95
2020,FR, Nuclear ,0.86,0.79,0.73,0.7,0.64,0.59,0.6,0.61,0.65,0.6,0.67,0.8
2020,GB, Nuclear ,0.8,0.88,0.8,0.76,0.82,0.88,0.79,0.85,0.84,0.81,0.75,0.73
2020,HU, Nuclear ,1,0.76,0.99,1.01,0.99,0.98,0.93,0.73,0.82,1,0.76,1.01
2020,NL, Nuclear ,1,1,0.98,0.79,1.57,1.06,0.48,0.93,0.98,0.92,0.99,1
2020,SE, Nuclear ,1.05,1.06,1.03,0.99,0.89,0.72,0.67,0.57,0.51,0.65,0.93,1
2020,SI, Nuclear ,0.99,0.94,1,0.94,0.99,0.97,0.97,0.96,0.98,1,1,1
2020,SK, Nuclear ,0.91,0.92,0.86,0.69,0.67,0.69,0.84,0.86,0.9,0.75,0.92,0.91
2020, CZ , Lignite ,0.55,0.54,0.49,0.5,0.38,0.33,0.3,0.37,0.47,0.49,0.53,0.47
2020, DE , Lignite ,0.79,0.78,0.78,0.76,0.74,0.71,0.71,0.76,0.73,0.7,0.79,0.68
2020, ES , Lignite ,3.44,2.61,1.69,2.01,2.99,3.44,3.75,3.06,3,3.04,3.24,3.08
2020, HU , Lignite ,0.56,0.5,0.67,0.26,0.3,0.28,0.49,0.65,0.66,0.64,0.66,0.42
2020, PL , Lignite ,0.73,0.69,0.65,0.58,0.63,0.62,0.68,0.61,0.63,0.57,0.61,0.57
2020, SI , Lignite ,0.76,0.64,0.6,0.48,0.44,0.38,0.58,0.57,0.42,0.47,0.5,0.45
2020, SK , Lignite ,0.7,0.66,0.51,0.42,0.36,0.45,0.43,0.42,0.42,0.53,0.57,0.54
2020,CH, Biomass ,0.7,0.689951905,0.6625,0.625,0.5875,0.560048095,0.55,0.560048095,0.5875,0.625,0.6625,0.689951905
2020,CH, Coal ,0.9,0.889951905,0.8625,0.825,0.7875,0.760048095,0.75,0.760048095,0.7875,0.825,0.8625,0.889951905
2020,CH,Gas,0.9,0.889951905,0.8625,0.825,0.7875,0.760048095,0.75,0.760048095,0.7875,0.825,0.8625,0.889951905
2020,CH, Pump ,0.88,0.86,0.86,0.75,0.68,0.68,0.71,0.7,0.71,0.78,0.85,0.85
2020,CH, Lignite ,0.74,0.8,0.83,0.7,0.65,0.71,0.72,0.7,0.69,0.77,0.81,0.75
2020,CH, Oil ,0.9,0.889951905,0.8625,0.825,0.7875,0.760048095,0.75,0.760048095,0.7875,0.825,0.8625,0.889951905
2020,CH, RoR ,0.64,0.64,0.64,0.59,0.59,0.59,0.59,0.59,0.59,0.64,0.64,0.64
2020,CH, Dam ,0.88,0.86,0.86,0.75,0.68,0.68,0.71,0.7,0.71,0.78,0.85,0.85
